,,,,,,
設問,,選択肢,,超加点(+50),加点(+20),即死(-50)
Q1,現在のメインの収入源と、お金の使い方は？,A,「実家・仕送り・お小遣い」がメインで、生活には困っていない,"親のすねかじり虫, ミスコン天使","しゃにかま星人, キョロキョロちゃん","ガチ勉スライム, さわやかバイト戦士, 留年ヤニカスジジイ, 狂気の推し活コレクター"
,,B,「自分の労働（バイトやインターン）」で稼いだお金がメイン,"さわやかバイト戦士, 意識高杉くん","話聞くダケ, ふつうの大学生",親のすねかじり虫
,,C,仕送りやバイト代がメインだが、「趣味や遊び」ですぐに消える,"留年ヤニカスジジイ, 語彙なしウェイウェイ","どこでもメロつきウサギ, 夢見がちバンドマン","意識高杉くん, ガチ勉スライム, 親のすねかじり虫"
,,D,「お金を使うイベント」をあまりしないため、そこそこ貯まっている,"いつまでも童貞くん, ガチ勉スライム",しゃにかま星人,"意識高杉くん, 親のすねかじり虫"
Q2,所属している、または一番居心地が良いコミュニティは？,A,結果や成長が求められる体育会・長期インターン・意識高い系団体,"ハイスペ最強キャプテン, 意識高杉くん",ミスコン天使,"いつまでも童貞くん, ふつうの大学生, 留年ヤニカスジジイ, 夢見がちバンドマン"
,,B,居心地の良いサークルやバイト先など、仲の良いコミュニティ,"語彙なしウェイウェイ, さわやかバイト戦士, ふつうの大学生","どこでもメロつきウサギ, キョロキョロちゃん","ガチ勉スライム, しゃにかま星人"
,,C,推し活やバンドなど、共通の趣味によって繋がった界隈,"夢見がちバンドマン, いつまでも童貞くん","留年ヤニカスジジイ, 話聞くダケ, 狂気の推し活コレクター","ハイスペ最強キャプテン, キョロキョロちゃん, ふつうの大学生"
,,D,どこにも所属せず、基本自分一人のための時間を使っている,"ガチ勉スライム, しゃにかま星人, 留年ヤニカスジジイ",いつまでも童貞くん,"ミスコン天使, ハイスペ最強キャプテン, 語彙なしウェイウェイ"
Q3,金曜日の夜、よくある過ごし方は？,A,居酒屋やクラブで、大人数でワイワイ飲む,"どこでもメロつきウサギ, 語彙なしウェイウェイ, ハイスペ最強キャプテン",ふつうの大学生,"いつまでも童貞くん, ガチ勉スライム, しゃにかま星人"
,,B,オシャレな店や話題のスポットで、食事やカフェを楽しむ,"ミスコン天使, 親のすねかじり虫","意識高杉くん, 話聞くダケ","いつまでも童貞くん, ガチ勉スライム"
,,C,自分の部屋で、趣味（推し、ゲーム、ネット）に没頭している,いつまでも童貞くん,"夢見がちバンドマン, しゃにかま星人, 狂気の推し活コレクター","ミスコン天使, 語彙なしウェイウェイ"
,,D,いつものメンバーとダラダラ語り明かしたり、通話したりする,"キョロキョロちゃん, さわやかバイト戦士, ふつうの大学生",留年ヤニカスジジイ,意識高杉くん
Q4,大学の授業・成績に対するスタンスは？,A,就活や将来のために、高成績を目指して真面目に受けている,"ガチ勉スライム, 意識高杉くん",ミスコン天使,"留年ヤニカスジジイ, ふつうの大学生, 語彙なしウェイウェイ"
,,B,成績にこだわりはなく、コスパ良く単位を取ることだけを考えている,"しゃにかま星人, キョロキョロちゃん","ハイスペ最強キャプテン, 話聞くダケ, ふつうの大学生",ガチ勉スライム
,,C,授業に行けない日も多く、留年が常にチラついている,"留年ヤニカスジジイ, 夢見がちバンドマン, 語彙なしウェイウェイ",どこでもメロつきウサギ,"意識高杉くん, ガチ勉スライム"
,,D,真面目に授業に出席し、それなりの成績をキープしている,"いつまでも童貞くん, ふつうの大学生","狂気の推し活コレクター, さわやかバイト戦士, 親のすねかじり虫",意識高杉くん
Q5,ファッションや見た目へのこだわりは？,A,美容やブランドものなどに惜しみなくお金をかける,"ミスコン天使, 親のすねかじり虫",どこでもメロつきウサギ,"いつまでも童貞くん, ガチ勉スライム"
,,B,古着や特定のテイストなど、こだわりや個性を出したい,夢見がちバンドマン,"狂気の推し活コレクター, どこでもメロつきウサギ","ハイスペ最強キャプテン, 意識高杉くん"
,,C,動きやすいスウェットや部活着が一番落ち着く,"ハイスペ最強キャプテン, 語彙なしウェイウェイ",留年ヤニカスジジイ,"ミスコン天使, 親のすねかじり虫"
,,D,特にこだわりはなく、周りから浮かない無難な服を選ぶ,ふつうの大学生,"いつまでも童貞くん, ガチ勉スライム, さわやかバイト戦士, キョロキョロちゃん","夢見がちバンドマン, ミスコン天使"
Q6,SNS（InstagramやXなど）での発信内容は？,A,自分の盛れた写真や、美味しいご飯などの充実した日常,"ミスコン天使, どこでもメロつきウサギ","語彙なしウェイウェイ, 親のすねかじり虫","ガチ勉スライム, いつまでも童貞くん, しゃにかま星人"
,,B,ニュースや身の周りの出来事についての意見や考察,"しゃにかま星人, 意識高杉くん",夢見がちバンドマン,ふつうの大学生
,,C,趣味や推しについての発信や、情報収集・拡散,"狂気の推し活コレクター, いつまでも童貞くん","ガチ勉スライム, 話聞くダケ",ミスコン天使
,,D,内輪ノリなど、身内向けの投稿や、見る専（ROM）,"ふつうの大学生, キョロキョロちゃん","さわやかバイト戦士, ハイスペ最強キャプテン",しゃにかま星人
Q7,自分が一番うれしい瞬間は？,A,より多くの人に「すごい！」「いいね！」と褒められた時,"キョロキョロちゃん, ミスコン天使",ハイスペ最強キャプテン,"いつまでも童貞くん, ガチ勉スライム"
,,B,圧倒的な実績や数字を叩き出し、自分が上のステージに行けた時,"意識高杉くん, ハイスペ最強キャプテン, ミスコン天使",話聞くダケ,"狂気の推し活コレクター, ふつうの大学生"
,,C,自分のこだわりや趣味を、誰かが深く理解してくれた時,"夢見がちバンドマン, 狂気の推し活コレクター","どこでもメロつきウサギ, 留年ヤニカスジジイ",ハイスペ最強キャプテン
,,D,給料日が来た時や連休が来た時など、平穏なご褒美がある時,"さわやかバイト戦士, ふつうの大学生","ガチ勉スライム, いつまでも童貞くん","意識高杉くん, ミスコン天使"
Q8,友達から真剣な悩みを相談されたら？,A,「わかる?」と全力で共感し、自分のことのように寄り添う,話聞くダケ,"どこでもメロつきウサギ, 夢見がちバンドマン, 語彙なしウェイウェイ","いつまでも童貞くん, ガチ勉スライム"
,,B,論理的に原因を分析し、「正解」を提示して解決に導こうとする,"しゃにかま星人, 意識高杉くん",ハイスペ最強キャプテン,語彙なしウェイウェイ
,,C,「とりあえず酒飲んで忘れようぜ！」とその場を楽しく盛り上げる,"語彙なしウェイウェイ, ハイスペ最強キャプテン","キョロキョロちゃん, さわやかバイト戦士","しゃにかま星人, いつまでも童貞くん"
,,D,適当に相槌を打って、早く自分の時間に戻りたいと考える,"留年ヤニカスジジイ, いつまでも童貞くん","親のすねかじり虫, 狂気の推し活コレクター","話聞くダケ, 意識高杉くん"
Q9,スマホを見ている時、一番開いているアプリは？,A,LINEやDMなど、他人とのコミュニケーションツール,"どこでもメロつきウサギ, 話聞くダケ, 語彙なしウェイウェイ","ミスコン天使, キョロキョロちゃん","いつまでも童貞くん, ガチ勉スライム"
,,B,TikTokやショート動画など、脳死で見られるエンタメ,ふつうの大学生,"留年ヤニカスジジイ, さわやかバイト戦士",意識高杉くん
,,C,XやDiscord、またはソシャゲなど、趣味の界隈のツール,"いつまでも童貞くん, しゃにかま星人","夢見がちバンドマン, 狂気の推し活コレクター","ハイスペ最強キャプテン, ミスコン天使"
,,D,スケジュール管理やニュース、または特に目的なくスマホをいじる,"意識高杉くん, ガチ勉スライム",ハイスペ最強キャプテン,"どこでもメロつきウサギ, ふつうの大学生"
Q10,まとまったお金（10万円）が手に入ったら？,A,投資、資格勉強、PC新調など自分の将来の価値を高めるために使う,"意識高杉くん, ガチ勉スライム",さわやかバイト戦士,"留年ヤニカスジジイ, 語彙なしウェイウェイ"
,,B,推し活やギャンブルなど、自分が一番気持ちよくなれることに全ツッパする,"狂気の推し活コレクター, 留年ヤニカスジジイ","どこでもメロつきウサギ, 夢見がちバンドマン, 語彙なしウェイウェイ","ガチ勉スライム, 意識高杉くん"
,,C,ブランド物やいいレストランなど、高級感やステータスを味わうために使う,"ミスコン天使, 親のすねかじり虫",話聞くダケ,"いつまでも童貞くん, ガチ勉スライム"
,,D,とりあえず全額貯金するか、奨学金の返済や生活費の足しにする,"さわやかバイト戦士, ガチ勉スライム",ふつうの大学生,親のすねかじり虫
Q11,恋愛に対するスタンスは？,A,恋愛好きで、出会いの場には積極的に足を運ぶ,"どこでもメロつきウサギ, 話聞くダケ, 語彙なしウェイウェイ",留年ヤニカスジジイ,"いつまでも童貞くん, ガチ勉スライム, しゃにかま星人"
,,B,恋人は欲しいが、自分からガツガツ行くのは少し恥ずかしい,"キョロキョロちゃん, ミスコン天使","親のすねかじり虫, いつまでも童貞くん","どこでもメロつきウサギ, 話聞くダケ"
,,C,恋愛よりも、趣味や友達が優先で、そこまで重要視していない,"いつまでも童貞くん, 狂気の推し活コレクター",ガチ勉スライム,"どこでもメロつきウサギ, 話聞くダケ"
,,D,出会いの場に行かなくても、今のコミュニティで十分満足している/興味がない,"ハイスペ最強キャプテン, さわやかバイト戦士, ふつうの大学生",夢見がちバンドマン,いつまでも童貞くん
Q12,キャンパスで顔見知りを見つけたら？,A,手を振って自分から声をかけにいく（たとえそこまで親しくなくても）,"ハイスペ最強キャプテン, 語彙なしウェイウェイ","さわやかバイト戦士, ふつうの大学生","いつまでも童貞くん, しゃにかま星人, 意識高杉くん"
,,B,気づかないフリをしてスマホを見るか、通り過ぎるのを待つ,"キョロキョロちゃん, ふつうの大学生","留年ヤニカスジジイ, 夢見がちバンドマン",ハイスペ最強キャプテン
,,C,絶対に目を合わせず、歩くルートを変えてでも回避する,"いつまでも童貞くん, しゃにかま星人","狂気の推し活コレクター, ガチ勉スライム","語彙なしウェイウェイ, キョロキョロちゃん"
,,D,自分にとって話すメリットがあれば声をかけるが、それ以外はスルー,"意識高杉くん, 話聞くダケ","ミスコン天使, 親のすねかじり虫",いつまでも童貞くん
Q13,恋人や親友に一番求めるものは？,A,学歴、ルックスなどのステータスや、周りに自慢できるかどうか,"ミスコン天使, 意識高杉くん, いつまでも童貞くん","親のすねかじり虫, どこでもメロつきウサギ","留年ヤニカスジジイ, 語彙なしウェイウェイ"
,,B,性格の相性や居心地の良さ、一緒にいて素が出せるかどうか,"語彙なしウェイウェイ, さわやかバイト戦士","ハイスペ最強キャプテン, ふつうの大学生",しゃにかま星人
,,C,趣味や好きなことが共通しているか、自分の世界観を否定しないか,夢見がちバンドマン,"いつまでも童貞くん, 狂気の推し活コレクター",意識高杉くん
,,D,恋愛にあまり興味が無い、または一人の時間が一番大事,"しゃにかま星人, ガチ勉スライム","留年ヤニカスジジイ, いつまでも童貞くん",どこでもメロつきウサギ
Q14,今、一番の悩みや不安は？,A,自分が他人からどう見られているかが常に気になってしまう,"キョロキョロちゃん, どこでもメロつきウサギ","ミスコン天使, 話聞くダケ",ハイスペ最強キャプテン
,,B,自分は周りより優秀なのに、正当に評価されていない気がする,しゃにかま星人,"意識高杉くん, ミスコン天使, 留年ヤニカスジジイ, 夢見がちバンドマン",語彙なしウェイウェイ
,,C,自分が熱中できる、心の拠り所が無いと不安になる,狂気の推し活コレクター,ガチ勉スライム,"ハイスペ最強キャプテン, 親のすねかじり虫"
,,D,日々楽しく過ごしているので、特になにもない/お金がないくらい,"ハイスペ最強キャプテン, 語彙なしウェイウェイ, 留年ヤニカスジジイ",ふつうの大学生,"しゃにかま星人, 夢見がちバンドマン"
Q15,最終的に、どんな人生を送りたい？,A,より良い将来に繋がるキャリアとステータスを手に入れ、勝ち組になりたい,"意識高杉くん, ミスコン天使, ガチ勉スライム, ハイスペ最強キャプテン",親のすねかじり虫,"ふつうの大学生, 留年ヤニカスジジイ"
,,B,友人や恋人と、何歳になっても楽しい思い出を共有して生きていきたい,ふつうの大学生,"ハイスペ最強キャプテン, キョロキョロちゃん, 語彙なしウェイウェイ","しゃにかま星人, いつまでも童貞くん"
,,C,恋愛、推し活など、ひたすら自分のしたいことをやり尽くす人生にしたい,"どこでもメロつきウサギ, 狂気の推し活コレクター","話聞くダケ, 語彙なしウェイウェイ, 留年ヤニカスジジイ, 夢見がちバンドマン","ガチ勉スライム, 意識高杉くん"
